EC number	KEGG pathway(s)
1.1.1.1	"Glycolysis / Gluconeogenesis; Fatty acid degradation; Glycine, serine and threonine metabolism; Tyrosine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.1.1.2	Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.27	Glycolysis / Gluconeogenesis; Cysteine and methionine metabolism; Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.2.7	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.2.8	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.1.-	"Glycolysis / Gluconeogenesis; Arginine biosynthesis; Glycine, serine and threonine metabolism; Lysine biosynthesis; Arginine and proline metabolism; Tryptophan metabolism; Pyruvate metabolism"
1.2.1.12	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.1.3	"Glycolysis / Gluconeogenesis; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Arginine and proline metabolism; Histidine metabolism; Tryptophan metabolism; Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.2.1.5	Glycolysis / Gluconeogenesis; Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Biosynthesis of secondary metabolites
1.2.1.59	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.1.9	Glycolysis / Gluconeogenesis; Pentose phosphate pathway
1.2.1.90	Glycolysis / Gluconeogenesis; Pentose phosphate pathway
1.2.4.1	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.7.1	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism
1.2.7.6	Glycolysis / Gluconeogenesis
1.8.1.4	"Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation; Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
