KEGG pathway ID	Description
map00010	Glycolysis / Gluconeogenesis
map00020	Citrate cycle (TCA cycle)
map00030	Pentose phosphate pathway
map00040	Pentose and glucuronate interconversions
map00051	Fructose and mannose metabolism
map00052	Galactose metabolism
map00053	Ascorbate and aldarate metabolism
map00061	Fatty acid biosynthesis
map00062	Fatty acid elongation
map00071	Fatty acid degradation
map00100	Steroid biosynthesis
map00120	Primary bile acid biosynthesis
map00130	Ubiquinone and other terpenoid-quinone biosynthesis
map00190	Oxidative phosphorylation
map00220	Arginine biosynthesis
map00230	Purine metabolism
map00240	Pyrimidine metabolism
map00250	"Alanine, aspartate and glutamate metabolism"
map00253	Tetracycline biosynthesis
map00260	"Glycine, serine and threonine metabolism"
map00270	Cysteine and methionine metabolism
map00280	"Valine, leucine and isoleucine degradation"
map00290	"Valine, leucine and isoleucine biosynthesis"
map00300	Lysine biosynthesis
map00310	Lysine degradation
map00311	Penicillin and cephalosporin biosynthesis
map00330	Arginine and proline metabolism
map00331	Clavulanic acid biosynthesis
map00340	Histidine metabolism
map00350	Tyrosine metabolism
map00360	Phenylalanine metabolism
map00380	Tryptophan metabolism
map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"
map00471	D-Glutamine and D-glutamate metabolism
map00472	D-Arginine and D-ornithine metabolism
map00473	D-Alanine metabolism
map00480	Glutathione metabolism
map00500	Starch and sucrose metabolism
map00510	N-Glycan biosynthesis
map00620	Pyruvate metabolism
map00630	Glyoxylate and dicarboxylate metabolism
map00670	One carbon pool by folate
map00900	Terpenoid backbone biosynthesis
map00910	Nitrogen metabolism
map00920	Sulfur metabolism
map01040	Biosynthesis of unsaturated fatty acids
map01110	Biosynthesis of secondary metabolites
map01130	Biosynthesis of antibiotics
map01200	Carbon metabolism
map01212	Fatty acid metabolism
