Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
AFFX-BioB-5_at	---	other	133.87	105.69	143.57	80.161
AFFX-BioB-M_at	---	other	135.77	114.15	150.33	84.818
AFFX-BioB-3_at	---	other	141.79	113.05	147.75	88.27
AFFX-BioC-5_at	---	other	169.62	144.12	185.37	104.4
AFFX-BioC-3_at	---	other	136.83	119.89	149.31	83.403
AFFX-BioDn-5_at	---	other	122.14	98.845	134.1	75.307
AFFX-BioDn-3_at	---	other	317.26	278.19	350.64	189.01
AFFX-CreX-5_at	---	other	117.22	90.866	118.35	72.098
AFFX-CreX-3_at	---	other	151.07	126.08	173.5	98.836
AFFX-DapX-5_at	---	other	117.66	97.941	130.55	73.824
AFFX-DapX-M_at	---	other	140.38	119.45	150.62	92.298
AFFX-DapX-3_at	---	other	121.57	99.227	125.38	75.141
AFFX-LysX-5_at	---	other	113.64	88.451	116.73	69.638
AFFX-LysX-M_at	---	other	144.93	120.81	157.42	89.881
AFFX-LysX-3_at	---	other	125.95	105.41	132.46	79.509
AFFX-PheX-5_at	---	other	121	97.745	127.05	73.027
AFFX-PheX-M_at	---	other	133.89	109.14	139.33	84.253
AFFX-PheX-3_at	---	other	172.74	151.77	207.52	112.95
AFFX-ThrX-5_at	---	other	149.69	116.07	161.09	90.897
AFFX-ThrX-M_at	---	other	133.35	108.22	146.46	83.654
AFFX-ThrX-3_at	---	other	169.04	136.11	181.19	100.67
AFFX-TrpnX-5_at	---	other	129.93	108.03	141.84	81.645
AFFX-TrpnX-M_at	---	other	115.69	91.559	123.36	74.034
AFFX-TrpnX-3_at	---	other	126.67	104.02	131.48	80.396
AFFX-HUMISGF3A/M97935_5_at	STAT1	other	448.73	193.82	321.19	109.05
AFFX-HUMISGF3A/M97935_MA_at	STAT1	other	1384.8	729.38	1138.2	346.13
AFFX-HUMISGF3A/M97935_MB_at	STAT1	other	795.82	741.8	939.19	346.09
AFFX-HUMISGF3A/M97935_3_at	STAT1	other	1344.7	1530.4	1754.7	823.97
AFFX-HUMRGE/M10098_5_at	---	other	253.8	1786.2	274.81	1148.3
AFFX-HUMRGE/M10098_M_at	---	other	219.28	727.17	234.57	485.8
AFFX-HUMRGE/M10098_3_at	---	other	410.06	2417.9	413.2	1702.6
AFFX-HUMGAPDH/M33197_5_at	GAPDH	other	3681.5	3238.3	3796.8	1454.5
AFFX-HUMGAPDH/M33197_M_at	GAPDH	other	5041.7	4602.5	5215.9	2349.2
AFFX-HUMGAPDH/M33197_3_at	GAPDH	other	4607.2	4859.4	5405.1	2593.8
AFFX-HSAC07/X00351_5_at	ACTB	immunity	10775	6772.5	12845	3705.9
AFFX-HSAC07/X00351_M_at	ACTB	immunity	11150	8676.4	13155	5730.6
AFFX-HSAC07/X00351_3_at	ACTB	immunity	6647.7	6520.6	10373	4351.3
AFFX-M27830_5_at	---	other	613.31	1646.8	1201.4	2370.6
AFFX-M27830_M_at	---	other	1778.6	1853.7	2553.6	1391.7
AFFX-M27830_3_at	---	other	293.47	285.44	352.81	200.62
AFFX-hum_alu_at	---	other	12501	11550	16603	7911.7
AFFX-r2-Ec-bioB-5_at	---	other	125.3	107.11	141.03	82.363
AFFX-r2-Ec-bioB-M_at	---	other	130.39	101.53	142.18	76.856
AFFX-r2-Ec-bioB-3_at	---	other	141.35	112.08	152.23	88.412
