from,to,value
"X","SPT16",0.00144217994170521
"X","ACT1",0.00144217994170521
"X","HTB1",0.00144217994170521
"X","HO",0.00604870032431826
"X","CAF4",0.00206903752918351
"X","MBP1_SWI6",0.012699785246711
"X","PHO2",0.0156453484372596
"X","CTS1",0.000928141476613143
"X","TRP4",0.0156453484372596
"X","FLO1",0.0156453484372596
"X","CLB5",0.012699785246711
"X","CLB6",0.012699785246711
"X","FLO10",0.0156453484372596
"X","GAL1",0.000213449389630101
"X","STE6",0.00604870032431826
"X","HDA1_TUP1",0.000654745791349012
"X","TUP1",0.0156453484372596
"X","UME6",0.000111656018856082
"X","RAD5",0.012699785246711
"X","CHO2",0.000111656018856082
"X","INO2_INO4",0.000111656018856082
"X","RNR3",0.0156453484372596
"X","SUC2",0.00032679137297563
"X","MEK1",0.000111656018856082
"X","LEU4",9.33981618909132e-06
"X","PHO4",0.00144217994170521
"X","POX1",0.000111656018856082
"X","PHO84",0.00144217994170521
"X","CAR1",0.000111656018856082
"X","ALPHA1",0.0156453484372596
"X","FAS1",0.000111656018856082
"X","SPT21",0.0197973232297162
"X","MIG1",0.000419900107914647
"CDC11","SWI4",0.272059289286085
"CDC11","CDC10",0.272059289286085
"CDC11","SPT16",0.000268975090243112
"CDC11","SWI4_SWI6",0.191147799002939
"CDC11","ACT1",0.000268975090243112
"CDC11","HTB1",0.000268975090243112
"CDC11","HO",0.000136106017983705
"CDC11","CTS1",0.0109522228748918
"CDC11","LEU2",0.000693923618789493
"CDC11","SNF6",0.000219768996534275
"CDC11","PCL1",0.272059289286085
"CDC11","PHO5",0.0284635710663364
"CDC11","GAL1",0.00012000325772805
"CDC11","STE6",0.000124517830770295
"CDC11","HDA1_TUP1",0.000407537130194362
"CDC11","TUP1",2.6826904803729e-07
"CDC11","CLN2",0.0193556414130421
"CDC11","RNR3",2.6826904803729e-07
"CDC11","LEU4",0.000328882438626891
"CDC11","CDC6",0.000365330948552698
"CDC11","PHO4",0.000268975090243112
"CDC11","PHO84",0.000268975090243112
"CDC11","ALPHA1",2.6826904803729e-07
"CDC11","SPT21",0.000472133661932294
"SWI4","CDC11",0.272059289286085
"SWI4","CDC10",0.272059289286085
"SWI4","SPT16",0.000268975090243112
"SWI4","SWI4_SWI6",0.191147799002939
"SWI4","ACT1",0.000268975090243112
"SWI4","HTB1",0.000268975090243112
"SWI4","HO",0.000136106017983705
"SWI4","CTS1",0.0109522228748918
"SWI4","LEU2",0.000693923618789493
"SWI4","SNF6",0.000219768996534275
"SWI4","PCL1",0.272059289286085
"SWI4","PHO5",0.0284635710663364
"SWI4","GAL1",0.00012000325772805
"SWI4","STE6",0.000124517830770295
"SWI4","HDA1_TUP1",0.000407537130194362
"SWI4","TUP1",2.6826904803729e-07
"SWI4","CLN2",0.0193556414130421
"SWI4","RNR3",2.6826904803729e-07
"SWI4","LEU4",0.000328882438626891
"SWI4","CDC6",0.000365330948552698
"SWI4","PHO4",0.000268975090243112
"SWI4","PHO84",0.000268975090243112
"SWI4","ALPHA1",2.6826904803729e-07
"SWI4","SPT21",0.000472133661932294
"CDC10","CDC11",0.272059289286085
"CDC10","SWI4",0.272059289286085
"CDC10","SPT16",0.000268975090243112
"CDC10","SWI4_SWI6",0.191147799002939
"CDC10","ACT1",0.000268975090243112
"CDC10","HTB1",0.000268975090243112
"CDC10","HO",0.000136106017983705
"CDC10","CTS1",0.0109522228748918
"CDC10","LEU2",0.000693923618789493
"CDC10","SNF6",0.000219768996534275
"CDC10","PCL1",0.272059289286085
"CDC10","PHO5",0.0284635710663364
"CDC10","GAL1",0.00012000325772805
"CDC10","STE6",0.000124517830770295
"CDC10","HDA1_TUP1",0.000407537130194362
"CDC10","TUP1",2.6826904803729e-07
"CDC10","CLN2",0.0193556414130421
"CDC10","RNR3",2.6826904803729e-07
"CDC10","LEU4",0.000328882438626891
"CDC10","CDC6",0.000365330948552698
"CDC10","PHO4",0.000268975090243112
"CDC10","PHO84",0.000268975090243112
"CDC10","ALPHA1",2.6826904803729e-07
"CDC10","SPT21",0.000472133661932294
"SPT16","X",0.00144217994170521
"SPT16","CDC11",0.000268975090243112
"SPT16","SWI4",0.000268975090243112
"SPT16","CDC10",0.000268975090243112
"SPT16","SWI4_SWI6",4.3635909476526e-05
"SPT16","ACT1",0.19828323339295
"SPT16","HTB1",0.19828323339295
"SPT16","CAF4",0.000644281464845656
"SPT16","CTS1",0.00125434327950238
"SPT16","LEU2",0.0608386905746908
"SPT16","PCL1",0.000268975090243108
"SPT16","GAL1",0.000429009133274997
"SPT16","HDA1_TUP1",0.173938154329809
"SPT16","CLN2",0.0883111500634706
"SPT16","CAF16",0.000180162401867611
"SPT16","PHO4",0.19828323339295
"SPT16","ADH2",0.00596329105090515
"SPT16","PHO84",0.19828323339295
"SPT16","SPT21",0.000472133661932294
"SWI4_SWI6","CDC11",0.191147799002939
"SWI4_SWI6","SWI4",0.191147799002939
"SWI4_SWI6","CDC10",0.191147799002939
"SWI4_SWI6","SPT16",4.3635909476526e-05
"SWI4_SWI6","ACT1",4.3635909476526e-05
"SWI4_SWI6","HTB1",4.3635909476526e-05
"SWI4_SWI6","HO",0.000776869525722485
"SWI4_SWI6","CAF4",8.5997348254809e-05
"SWI4_SWI6","MBP1_SWI6",0.000636201208203951
"SWI4_SWI6","PHO2",0.000525490934908962
"SWI4_SWI6","CTS1",0.00571766489153159
"SWI4_SWI6","TRP4",0.000525490934908962
"SWI4_SWI6","FLO1",0.000525490934908962
"SWI4_SWI6","CLB5",0.000636201208203951
"SWI4_SWI6","CLB6",0.000636201208203951
"SWI4_SWI6","FLO10",0.000525490934908962
"SWI4_SWI6","SNF6",8.83648020392335e-05
"SWI4_SWI6","PCL1",0.191147799002939
"SWI4_SWI6","PHO5",0.00471040346138528
"SWI4_SWI6","GAL1",0.000330494105211178
"SWI4_SWI6","STE6",0.00136617801528194
"SWI4_SWI6","HDA1_TUP1",9.09556985482823e-05
"SWI4_SWI6","TUP1",0.000447456109901347
"SWI4_SWI6","CLN2",0.0128444066385385
"SWI4_SWI6","RAD5",0.000636201208203951
"SWI4_SWI6","RNR3",0.000447456109901347
"SWI4_SWI6","LEU4",0.00307129735519719
"SWI4_SWI6","CAF16",0.000233252827669303
"SWI4_SWI6","CDC6",0.00149991706928878
"SWI4_SWI6","PHO4",4.3635909476526e-05
"SWI4_SWI6","PHO84",4.3635909476526e-05
"SWI4_SWI6","ALPHA1",0.000447456109901347
"ACT1","X",0.00144217994170521
"ACT1","CDC11",0.000268975090243112
"ACT1","SWI4",0.000268975090243112
"ACT1","CDC10",0.000268975090243112
"ACT1","SPT16",0.19828323339295
"ACT1","SWI4_SWI6",4.3635909476526e-05
"ACT1","HTB1",0.19828323339295
"ACT1","CAF4",0.000644281464845656
"ACT1","CTS1",0.00125434327950238
"ACT1","LEU2",0.0608386905746908
"ACT1","PCL1",0.000268975090243108
"ACT1","GAL1",0.000429009133274997
"ACT1","HDA1_TUP1",0.173938154329809
"ACT1","CLN2",0.0883111500634706
"ACT1","CAF16",0.000180162401867611
"ACT1","PHO4",0.19828323339295
"ACT1","ADH2",0.00596329105090515
"ACT1","PHO84",0.19828323339295
"ACT1","SPT21",0.000472133661932294
"HTB1","X",0.00144217994170521
"HTB1","CDC11",0.000268975090243112
"HTB1","SWI4",0.000268975090243112
"HTB1","CDC10",0.000268975090243112
"HTB1","SPT16",0.19828323339295
"HTB1","SWI4_SWI6",4.3635909476526e-05
"HTB1","ACT1",0.19828323339295
"HTB1","CAF4",0.000644281464845656
"HTB1","CTS1",0.00125434327950238
"HTB1","LEU2",0.0608386905746908
"HTB1","PCL1",0.000268975090243108
"HTB1","GAL1",0.000429009133274997
"HTB1","HDA1_TUP1",0.173938154329809
"HTB1","CLN2",0.0883111500634706
"HTB1","CAF16",0.000180162401867611
"HTB1","PHO4",0.19828323339295
"HTB1","ADH2",0.00596329105090515
"HTB1","PHO84",0.19828323339295
"HTB1","SPT21",0.000472133661932294
"HO","X",0.00604870032431826
"HO","CDC11",0.000136106017983705
"HO","SWI4",0.000136106017983705
"HO","CDC10",0.000136106017983705
"HO","SWI4_SWI6",0.000776869525722485
"HO","MBP1_SWI6",0.05060472123215
"HO","PHO2",0.0521240747206341
"HO","TRP4",0.0521240747206341
"HO","FLO1",0.0521240747206341
"HO","CLB5",0.05060472123215
"HO","CLB6",0.05060472123215
"HO","FLO10",0.0521240747206341
"HO","PCL1",0.000136106017983705
"HO","PHO5",0.01417031365098
"HO","GAL1",0.00650773456387647
"HO","STE6",0.0277428310416868
"HO","TUP1",0.0479004345362489
"HO","RAD5",0.05060472123215
"HO","RNR3",0.0479004345362489
"HO","CDC6",0.00808759216439686
"HO","ALPHA1",0.0479004345362489
"HO","MIG1",0.00167821816417901
"CAF4","X",0.00206903752918351
"CAF4","SPT16",0.000644281464845656
