event-id	visible	timestamp	location-long	location-lat	argos:altitude	gps:hdop	ground-speed	heading	tag-tech-spec	tag-voltage	sensor-type	individual-taxon-canonical-name	tag-local-identifier	individual-local-identifier	study-name
250386109	true	2013-07-12 04:10:14.000	13.3524	57.33415							gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386110	true	2013-07-12 04:24:05.000	13.352072	57.333359	210.0	1.7	0.257	0.0	3	4.18	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386111	true	2013-07-12 04:38:51.000	13.352212	57.333355	203.0	8.3	0.257	0.0	3	4.18	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386112	true	2013-07-12 04:53:33.000	13.352979	57.334042	-38.0	2.7	0.257	0.0	2	4.18	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386113	true	2013-07-12 05:08:33.000	13.352137	57.333359	190.0	3.0	0.257	0.0	3	4.18	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386114	true	2013-07-12 05:23:03.000	13.352302	57.333248	238.0	4.4	0.3598	0.0	3	4.18	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386115	true	2013-07-12 05:37:52.000	13.352108	57.333355	217.0	1.7	0.2056	0.0	3	4.18	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386116	true	2013-07-12 05:52:34.000	13.353911	57.332504	211.0	1.2	0.7196	0.0	3	4.19	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386117	true	2013-07-12 06:07:03.000	13.356677	57.329998	-38.0	0.0	0.0	0.0	1	4.19	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386118	true	2013-07-12 06:21:33.000	13.357165	57.331528	212.0	1.8	0.3084	0.0	3	4.19	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386119	true	2013-07-12 06:36:03.000	13.357065	57.33144	185.0	5.8	0.1028	0.0	3	4.19	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386120	true	2013-07-12 06:50:33.000	13.357157	57.331959	210.0	1.3	0.1028	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386121	true	2013-07-12 07:05:22.000	13.356156	57.33271	226.0	2.3	0.0	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386122	true	2013-07-12 07:20:03.000	13.356693	57.332546	225.0	1.0	0.0514	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386123	true	2013-07-12 07:34:33.000	13.357377	57.332115	203.0	5.4	0.3084	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386124	true	2013-07-12 07:49:03.000	13.35646	57.331192	-38.0	3.0	0.0514	0.0	2	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386125	true	2013-07-12 08:03:33.000	13.356058	57.332119	213.0	1.2	0.1028	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386126	true	2013-07-12 08:18:03.000	13.356136	57.332569	263.0	3.8	0.514	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386127	true	2013-07-12 08:32:33.000	13.348945	57.328117	-38.0	0.0	0.0	0.0	1	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386128	true	2013-07-12 08:47:03.000	13.356408	57.33234	220.0	1.1	0.257	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386129	true	2013-07-12 09:01:33.000	13.356604	57.331955	191.0	6.4	0.0514	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386130	true	2013-07-12 09:16:33.000	13.356423	57.332775	216.0	2.5	0.4112	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386131	true	2013-07-12 09:31:03.000	13.355884	57.332047	221.0	1.4	0.0514	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386132	true	2013-07-12 09:45:33.000	13.35643	57.332603	208.0	2.8	0.5654	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386133	true	2013-07-12 10:01:03.000	13.355565	57.33263	173.0	4.7	1.4906	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386134	true	2013-07-12 10:32:21.000	13.358492	57.333363	-38.0	0.0	0.0	0.0	1	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386135	true	2013-07-12 10:47:03.000	13.359863	57.3311	217.0	1.8	0.3598	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386136	true	2013-07-12 11:02:33.000	13.359132	57.328773	-38.0	0.0	0.0	0.0	1	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386137	true	2013-07-12 11:17:03.000	13.365976	57.330219	-38.0	0.0	0.0	0.0	1	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386138	true	2013-07-12 11:31:33.000	13.363298	57.330372	222.0	3.9	0.1028	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386139	true	2013-07-12 11:46:33.000	13.36431	57.329205	-38.0	0.0	0.0	0.0	1	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
250386140	true	2013-07-12 12:01:03.000	13.362835	57.331089	236.0	1.6	0.1028	0.0	3	4.2	gps	Grus grus	8621	8621	GPS telemetry of Common Cranes, Sweden
