"","X","CDC11","SWI4","CDC10","SPT16","SWI4_SWI6","ACT1","HTB1","HO","CAF4","MBP1_SWI6","PHO2","CTS1","ACE2","TRP4","LEU2","FLO1","CLB5","CLB6","FLO10","SNF6","PCL1","PHO5","GAL1","LEU3","SIN3","STE6","HDA1_TUP1","TUP1","EGT2","CLN2","FUS1","UME6","RAD5","CHO2","INO2_INO4","RNR3","SUC2","MEK1","LEU4","CAF16","CDC6","PHO4","POX1","ADH2","PHO84","CAR1","ALPHA1","FAS1","SPT21","MIG1"
"X",0,0,0,0,0.00144217994170521,0,0.00144217994170521,0.00144217994170521,0.00604870032431826,0.00206903752918351,0.012699785246711,0.0156453484372596,0.000928141476613143,0,0.0156453484372596,0,0.0156453484372596,0.012699785246711,0.012699785246711,0.0156453484372596,0,0,0,0.000213449389630101,0,0,0.00604870032431826,0.000654745791349012,0.0156453484372596,0,0,0,0.000111656018856082,0.012699785246711,0.000111656018856082,0.000111656018856082,0.0156453484372596,0.00032679137297563,0.000111656018856082,9.33981618909132e-06,0,0,0.00144217994170521,0.000111656018856082,0,0.00144217994170521,0.000111656018856082,0.0156453484372596,0.000111656018856082,0.0197973232297162,0.000419900107914647
"CDC11",0,0,0.272059289286085,0.272059289286085,0.000268975090243112,0.191147799002939,0.000268975090243112,0.000268975090243112,0.000136106017983705,0,0,0,0.0109522228748918,0,0,0.000693923618789493,0,0,0,0,0.000219768996534275,0.272059289286085,0.0284635710663364,0.00012000325772805,0,0,0.000124517830770295,0.000407537130194362,2.6826904803729e-07,0,0.0193556414130421,0,0,0,0,0,2.6826904803729e-07,0,0,0.000328882438626891,0,0.000365330948552698,0.000268975090243112,0,0,0.000268975090243112,0,2.6826904803729e-07,0,0.000472133661932294,0
"SWI4",0,0.272059289286085,0,0.272059289286085,0.000268975090243112,0.191147799002939,0.000268975090243112,0.000268975090243112,0.000136106017983705,0,0,0,0.0109522228748918,0,0,0.000693923618789493,0,0,0,0,0.000219768996534275,0.272059289286085,0.0284635710663364,0.00012000325772805,0,0,0.000124517830770295,0.000407537130194362,2.6826904803729e-07,0,0.0193556414130421,0,0,0,0,0,2.6826904803729e-07,0,0,0.000328882438626891,0,0.000365330948552698,0.000268975090243112,0,0,0.000268975090243112,0,2.6826904803729e-07,0,0.000472133661932294,0
"CDC10",0,0.272059289286085,0.272059289286085,0,0.000268975090243112,0.191147799002939,0.000268975090243112,0.000268975090243112,0.000136106017983705,0,0,0,0.0109522228748918,0,0,0.000693923618789493,0,0,0,0,0.000219768996534275,0.272059289286085,0.0284635710663364,0.00012000325772805,0,0,0.000124517830770295,0.000407537130194362,2.6826904803729e-07,0,0.0193556414130421,0,0,0,0,0,2.6826904803729e-07,0,0,0.000328882438626891,0,0.000365330948552698,0.000268975090243112,0,0,0.000268975090243112,0,2.6826904803729e-07,0,0.000472133661932294,0
"SPT16",0.00144217994170521,0.000268975090243112,0.000268975090243112,0.000268975090243112,0,4.3635909476526e-05,0.19828323339295,0.19828323339295,0,0.000644281464845656,0,0,0.00125434327950238,0,0,0.0608386905746908,0,0,0,0,0,0.000268975090243108,0,0.000429009133274997,0,0,0,0.173938154329809,0,0,0.0883111500634706,0,0,0,0,0,0,0,0,0,0.000180162401867611,0,0.19828323339295,0,0.00596329105090515,0.19828323339295,0,0,0,0.000472133661932294,0
"SWI4_SWI6",0,0.191147799002939,0.191147799002939,0.191147799002939,4.3635909476526e-05,0,4.3635909476526e-05,4.3635909476526e-05,0.000776869525722485,8.5997348254809e-05,0.000636201208203951,0.000525490934908962,0.00571766489153159,0,0.000525490934908962,0,0.000525490934908962,0.000636201208203951,0.000636201208203951,0.000525490934908962,8.83648020392335e-05,0.191147799002939,0.00471040346138528,0.000330494105211178,0,0,0.00136617801528194,9.09556985482823e-05,0.000447456109901347,0,0.0128444066385385,0,0,0.000636201208203951,0,0,0.000447456109901347,0,0,0.00307129735519719,0.000233252827669303,0.00149991706928878,4.3635909476526e-05,0,0,4.3635909476526e-05,0,0.000447456109901347,0,0,0
"ACT1",0.00144217994170521,0.000268975090243112,0.000268975090243112,0.000268975090243112,0.19828323339295,4.3635909476526e-05,0,0.19828323339295,0,0.000644281464845656,0,0,0.00125434327950238,0,0,0.0608386905746908,0,0,0,0,0,0.000268975090243108,0,0.000429009133274997,0,0,0,0.173938154329809,0,0,0.0883111500634706,0,0,0,0,0,0,0,0,0,0.000180162401867611,0,0.19828323339295,0,0.00596329105090515,0.19828323339295,0,0,0,0.000472133661932294,0
"HTB1",0.00144217994170521,0.000268975090243112,0.000268975090243112,0.000268975090243112,0.19828323339295,4.3635909476526e-05,0.19828323339295,0,0,0.000644281464845656,0,0,0.00125434327950238,0,0,0.0608386905746908,0,0,0,0,0,0.000268975090243108,0,0.000429009133274997,0,0,0,0.173938154329809,0,0,0.0883111500634706,0,0,0,0,0,0,0,0,0,0.000180162401867611,0,0.19828323339295,0,0.00596329105090515,0.19828323339295,0,0,0,0.000472133661932294,0
"HO",0.00604870032431826,0.000136106017983705,0.000136106017983705,0.000136106017983705,0,0.000776869525722485,0,0,0,0,0.05060472123215,0.0521240747206341,0,0,0.0521240747206341,0,0.0521240747206341,0.05060472123215,0.05060472123215,0.0521240747206341,0,0.000136106017983705,0.01417031365098,0.00650773456387647,0,0,0.0277428310416868,0,0.0479004345362489,0,0,0,0,0.05060472123215,0,0,0.0479004345362489,0,0,0,0,0.00808759216439686,0,0,0,0,0,0.0479004345362489,0,0,0.00167821816417901
"CAF4",0.00206903752918351,0,0,0,0.000644281464845656,8.5997348254809e-05,0.000644281464845656,0.000644281464845656,0,0,0,0,0,1.27484053852125e-05,0,5.50818156549573e-05,0,0,0,0,0,0,0,0,0,0,7.3900088451259e-06,0.000594529268985983,0,1.27484053852125e-05,0.00121028919249059,0,0,0,0,0,0,0,0,0,1,0.000741715984904613,0.000644281464845656,0,0,0.000644281464845656,0,0,0,0,0
