qseqid	qlength	sseqid	pident	qcov
g1	247	YCL076W	100.00	100.00
g10	316	YCL059C	100.00	100.00
g100	610	YCR048W	100.00	100.00
g101	222	YCR051W	100.00	100.00
g102	483	YCR052W	100.00	100.00
g103	514	YCR053W	100.00	100.00
g104	563	YCR054C	100.00	100.00
g105	923	YCR057C	100.00	100.00
g106	258	YCR059C	100.00	100.00
g107	111	YCR060W	100.00	100.00
g108	631	YCR061W	100.00	100.00
g109	563	YCR065W	100.00	100.00
g11	113	YCL058W-A	100.00	100.00
g110	487	YCR066W	100.00	100.00
g111	1065	YCR067C	100.00	100.00
g112	471	YCR068W	100.00	100.00
g113	318	YCR069W	100.00	100.00
g114	146	YCR071C	100.00	100.00
g115	515	YCR072C	100.00	100.00
g116	1330	YCR073C	100.00	100.00
g117	315	YCR073W-A	100.00	100.00
g118	75	YCR075W-A	100.00	100.00
g119	250	YCR076C	100.00	100.00
g12	97	YCL057C-A	100.00	100.00
g120	796	YCR077C	100.00	100.00
g121	392	YCR079W	100.00	100.00
g122	1427	YCR081W	100.00	100.00
g123	128	YCR082W	100.00	100.00
g124	127	YCR083W	100.00	100.00
g125	713	YCR084C	100.00	100.00
g126	190	YCR086W	100.00	100.00
g127	153	YCR087C-A	100.00	100.00
g128	592	YCR088W	100.00	100.00
g129	1609	YCR089W	100.00	100.00
g13	686	YCL057W	100.00	100.00
g130	182	YCR090C	100.00	100.00
g131	702	YCR091W	100.00	100.00
g132	1018	YCR092C	100.00	100.00
g133	2108	YCR093W	100.00	100.00
g134	391	YCR094W	100.00	100.00
g135	362	YCR095C	100.00	100.00
g136	122	YCR097W	99.18	100.00
g137	518	YCR098C	100.00	100.00
g138	120	YCR099C	100.00	100.00
g139	316	YCR100C	100.00	100.00
g14	335	YCL055W	100.00	100.00
g140	368	YCR102C	100.00	100.00
g141	124	YCR104W	100.00	100.00
g142	361	YCR105W	100.00	100.00
g143	832	YCR106W	100.00	100.00
g144	363	YCR107W	100.00	100.00
g15	841	YCL054W	100.00	100.00
g16	416	YCL052C	100.00	100.00
g17	583	YCL051W	100.00	100.00
g18	321	YCL050C	100.00	100.00
g19	312	YCL049C	100.00	100.00
g2	308	YCL074W	100.00	100.00
g20	79	YCL048W-A	100.00	100.00
g21	463	YCL048W	100.00	100.00
g22	258	YCL047C	100.00	100.00
g23	760	YCL045C	100.00	100.00
g24	417	YCL044C	100.00	100.00
g25	522	YCL043C	100.00	100.00
g26	500	YCL040W	100.00	100.00
g27	745	YCL039W	100.00	100.00
g28	528	YCL038C	100.00	100.00
g29	434	YCL037C	100.00	100.00
g3	615	YCL073C	100.00	100.00
g30	561	YCL036W	100.00	100.00
g31	110	YCL035C	100.00	100.00
g32	354	YCL034W	100.00	100.00
g33	168	YCL033C	100.00	100.00
g34	346	YCL032W	100.00	100.00
g35	297	YCL031C	100.00	100.00
g36	799	YCL030C	100.00	100.00
g37	440	YCL029C	100.00	100.00
g38	405	YCL028W	100.00	100.00
g39	507	YCL027W	100.00	100.00
g4	582	YKR105C	93.64	100.00
g40	193	YCL026C-B	100.00	100.00
g41	193	YCL026C-A	100.00	100.00
g42	633	YCL025C	100.00	100.00
g43	1037	YCL024W	100.00	100.00
g44	1770	YCL019W	98.31	100.00
g45	364	YCL018W	100.00	100.00
g46	497	YCL017C	100.00	100.00
g47	380	YCL016C	100.00	100.00
g48	1636	YCL014W	100.00	100.00
g49	113	YCL012C	100.00	100.00
g5	210	YCR039C	100.00	100.00
g50	421	YCL011C	100.00	100.00
g51	259	YCL010C	100.00	100.00
g52	309	YCL009C	100.00	100.00
g53	385	YCL008C	100.00	100.00
g54	113	YCL005W	100.00	100.00
g55	492	YCL004W	100.00	100.00
g56	188	YCL001W	100.00	100.00
g57	144	YCL001W-A	99.31	100.00
g58	322	YCR002C	100.00	100.00
g59	183	YCR003W	100.00	100.00
g6	175	YCR040W	100.00	100.00
g60	247	YCR004C	100.00	100.00
g61	460	YCR005C	100.00	100.00
g62	239	YCR007C	100.00	100.00
g63	600	YCR008W	100.00	100.00
g64	265	YCR009C	100.00	100.00
g65	283	YCR010C	100.00	100.00
g66	1049	YCR011C	100.00	100.00
g67	416	YCR012W	100.00	100.00
g68	582	YCR014C	100.00	100.00
g69	317	YCR015C	100.00	100.00
g7	360	YCL064C	100.00	100.00
g70	290	YCR016W	100.00	100.00
g71	953	YCR017C	100.00	100.00
g72	221	YCR018C	100.00	100.00
g73	362	YCR019W	100.00	100.00
g74	215	YCR020C	100.00	100.00
g75	88	YCR020C-A	100.00	100.00
g76	332	YCR021C	100.00	100.00
g77	611	YCR023C	100.00	100.00
g78	492	YCR024C	100.00	100.00
g79	742	YCR026C	100.00	100.00
g8	423	YCL063W	100.00	100.00
g80	209	YCR027C	100.00	100.00
g81	511	YCR028C	100.00	100.00
g82	135	YCR028C-A	100.00	100.00
g83	870	YCR030C	100.00	100.00
g84	137	YCR031C	100.00	100.00
g85	2167	YCR032W	100.00	100.00
g86	1226	YCR033W	100.00	100.00
g87	347	YCR034W	100.00	100.00
g88	394	YCR035C	100.00	100.00
g89	333	YCR036W	100.00	100.00
g9	1096	YCL061C	100.00	100.00
g90	923	YCR037C	100.00	100.00
g91	608	YCR038C	100.00	100.00
g92	210	YCR039C	100.00	100.00
g93	175	YCR040W	100.00	100.00
g94	1406	YCR042C	100.00	100.00
g95	127	YCR043C	100.00	100.00
g96	357	YCR044C	100.00	100.00
g97	491	YCR045C	100.00	100.00
g98	169	YCR046C	100.00	100.00
g99	275	YCR047C	100.00	100.00
