Sequence id 	Synonyms	Description 	EC number 	WT expr 1	WT expr 2	CLA50 expr 1	CLA50 expr 2	Fold change	q-value	"significant +, q <0.0005"
SCLAV0002 		Secreted protein 		22	19	30	34	1.54	2.21E-02	no
SCLAV0003 		Hypothetical protein		7	10	18	20	2.26	2.21E-02	no
SCLAV0004 		Hypothetical protein		15	15	23	20	1.431	1.56E-01	no
SCLAV0006 		"O-methyltransferase, putative "		7	6	10	10	1.466	1.88E-01	no
SCLAV0008 		Methoxymalonate biosynthesis acyl-CoA dehydrogenase		28	29	31	33	1.104	1.90E-01	no
SCLAV0010 		Methoxymalonate biosynthesis 3-hydroxyacyl-CoA dehydrogenase 		9	13	16	16	1.45	1.88E-01	no
SCLAV0011 		modular polyketide synthase 		34	42	39	39	1.03	1.81E-01	no
SCLAV0012 		modular polyketide synthase 		53	60	58	57	1.014	1.81E-01	no
SCLAV0013 		modular polyketide synthase 		82	86	103	106	1.25	1.28E-03	no
SCLAV0014 		modular polyketide synthase 		96	97	93	104	1.024	1.84E-01	no
SCLAV0015 		modular polyketide synthase		94	94	77	89	0.883	1.04E-02	no
SCLAV0016 	griC	arylcarboxylate reductase component 		78	82	81	91	1.072	1.90E-01	no
SCLAV0017 		Putative malonyl transferase 		97	104	90	92	0.906	7.63E-03	no
SCLAV0018 		Cytochrome P450 		221	220	261	267	1.196	4.90E-04	yes
SCLAV0019 		Putative membrane protein 		40	42	33	39	0.889	2.21E-02	no
SCLAV0023 		Hypothetical protein		64	72	54	50	0.772	2.63E-03	no
SCLAV0024 		Rieske (2Fe-2S) domain-containing protein 		79	79	214	229	2.799	4.90E-04	yes
SCLAV0025 		putative transmembrane anti-sigma factor 		123	125	195	213	1.646	4.90E-04	yes
SCLAV0026 		Secreted protein 		48	58	31	31	0.581	1.28E-03	no
SCLAV0027 		putative phage tail sheath protein 		68	78	56	52	0.734	2.63E-03	no
SCLAV0028 		Sporozoite_P67 domain containing protein		47	50	41	35	0.785	4.42E-03	no
SCLAV0029 		Putative SAM-dependant methyltransferase 		71	69	90	86	1.259	2.19E-03	no
SCLAV0032 		Hypothetical protein		373	341	569	522	1.529	4.90E-04	yes
