Query_label	Target_label	%identity	aligment_length	#mismatches	#gap_opens	start_Q	end_Q	start_T	end_T	E_value	Bit_score
sp|Q9S9Z8|14311_ARATH	sp|P62258|1433E_HUMAN	74.48	239	61	0	3	241	2	240	5e-127	 364
sp|Q9C5W6|14312_ARATH	sp|P62258|1433E_HUMAN	75.93	241	58	0	9	249	3	243	3e-132	 378
sp|Q5QNB8|14337_ORYSJ	sp|P62258|1433E_HUMAN	65.56	241	83	0	1	241	1	241	6e-111	 323
sp|P93212|14337_SOLLC	sp|P62258|1433E_HUMAN	76.05	238	57	0	4	241	3	240	1e-132	 379
sp|P93213|14338_SOLLC	sp|P62258|1433E_HUMAN	69.83	242	73	0	6	247	3	244	2e-123	 355
sp|Q96299|14339_ARATH	sp|P62258|1433E_HUMAN	71.73	237	67	0	6	242	3	239	1e-122	 354
sp|P93214|14339_SOLLC	sp|P62258|1433E_HUMAN	73.14	242	65	0	6	247	3	244	5e-129	 370
sp|P42654|1433B_VICFA	sp|P62258|1433E_HUMAN	74.79	242	61	0	6	247	3	244	8e-133	 379
sp|Q96452|1433C_SOYBN	sp|P62258|1433E_HUMAN	73.33	240	64	0	6	245	3	242	2e-128	 368
sp|Q96453|1433D_SOYBN	sp|P62258|1433E_HUMAN	75.62	242	59	0	6	247	3	244	9e-133	 379
sp|P29306|1433X_MAIZE	sp|P62258|1433E_HUMAN	77.05	61	14	0	1	61	184	244	9e-26	96.3
sp|P29308|1433_SPIOL	sp|P62258|1433E_HUMAN	75.62	201	49	0	1	201	42	242	8e-109	 317
sp|Q8RW96|2A5G_ARATH	sp|Q14738|2A5D_HUMAN	51.52	460	219	3	36	493	56	513	6e-166	 487
sp|P36875|2AAA_PEA	sp|P30153|2AAA_HUMAN	25.54	184	137	0	49	232	404	587	2e-11	65.5
sp|Q9SMZ4|AASS_ARATH	sp|Q9UDR5|AASS_HUMAN	38.89	468	248	8	16	464	25	473	2e-93	 321
sp|P28011|AAT1_MEDSA	sp|P00505|AATM_HUMAN	55.16	397	176	2	18	413	33	428	2e-157	 455
sp|P46645|AAT2_ARATH	sp|P00505|AATM_HUMAN	53.42	395	182	2	5	398	33	426	2e-152	 442
sp|P46644|AAT3_ARATH	sp|P00505|AATM_HUMAN	53.90	397	181	2	49	444	33	428	3e-152	 443
sp|P46248|AAT5_ARATH	sp|P00505|AATM_HUMAN	52.43	391	184	2	56	445	36	425	2e-145	 426
sp|P28734|AATC_DAUCA	sp|P00505|AATM_HUMAN	54.18	395	179	2	5	398	33	426	1e-152	 442
sp|P26563|AATM_LUPAN	sp|P00505|AATM_HUMAN	51.66	391	187	2	57	446	36	425	9e-145	 424
